user_id,is_returning
4642-7684-PDFJ,0
6809-8253-YSLP,0
2124-9206-TQAD,0
4468-5868-UZSP,1
1179-1454-ONFO,1
1451-5640-JPQQ,0
8311-1062-HKFO,1
1775-5009-KCQO,0
2695-9023-XZRC,1
4704-7882-IXPM,1
1152-2285-NTAX,1
5268-0316-FTVE,0
3248-9528-RIYP,1
7558-0142-UPDI,1
0678-8418-UYOT,0
3145-3205-AJDU,0
9863-4142-KIVQ,1
3980-2464-UDXE,0
6202-6050-GBOX,0
5482-9351-SJOK,0
2674-5751-APKB,1
4335-8832-QMKK,0
3700-8410-SQDQ,0
7002-3800-UHTE,0
9064-9317-XZQV,0
7204-9922-VEUG,1
9927-5832-GHKC,1
3752-5105-MZDX,0
2780-6699-CCEL,0
4080-2539-JYZC,1
8539-1250-HFET,0
4037-9966-TPQI,1
4863-0760-NXIL,1
5576-9718-CPXM,0
9269-5859-ZJBK,1
9749-1076-VNYI,1
9745-2554-BIWE,1
0755-9312-JOOL,1
2533-6574-DGGL,1
6798-4347-PHQU,1
3350-4528-BITG,1
5222-9103-XRAI,0
4704-8208-AVZG,1
9495-6253-FVTH,0
4497-2513-FNGJ,1
7161-4656-WRRV,1
3904-8257-YLRZ,1
1551-0207-OUOM,1
9104-2470-QGPF,1
4796-2798-OUBR,0
4471-8512-FMIV,1
9379-9210-PLOJ,1
2108-7721-ZJJF,1
0369-0263-GNPO,0
5674-8293-EDEH,0
3060-9546-FIIM,1
5739-0557-LZON,0
8134-2861-UNCB,1
3298-7534-YLYE,0
2677-8875-MDEZ,1
0726-9489-QYGP,1
3936-2721-CPWQ,1
8979-0027-OPTX,0
8979-0027-OPTX,1
6779-5865-HOGK,1
6838-3713-SIFY,0
1693-7570-YMOT,1
3696-6945-ZXZM,1
2370-1025-PYJA,1
3398-7137-CJOM,0
1332-8609-JLAT,1
8788-6825-ZERW,1
6067-2879-CMYF,0
9371-7243-OZWR,1
3315-8910-CEVF,0
6465-7522-PIEO,0
3129-8352-SJXB,1
3652-8148-YXQO,0
7691-4217-HFLA,0
6225-9682-OWEV,0
8376-4026-VLLZ,1
6231-6276-JIES,1
9888-3082-RNXV,1
1118-2251-TGWD,0
7558-0142-UPDI,0
8413-8435-TQLW,0
4558-1987-CXDP,1
6876-6747-KSRW,0
1924-1624-BJUO,1
5577-3591-ACEY,1
3332-4707-LQOM,1
4020-9877-HATA,1
5691-9756-MYPW,1
1615-0565-JZBU,1
8233-6496-DVCY,1
6213-2953-RZOI,1
8749-6939-KUPE,0
1362-4981-ELMT,0
0810-0141-JXSB,1
2324-8710-WLKT,1
9216-1450-VTWK,1
0664-5971-HLEF,0
4026-3948-DOFZ,1
8398-3630-GDGE,1
9083-4227-ADMF,1
4791-4861-KFRY,0
3695-6007-XBCM,1
7004-3360-ORYC,1
6246-2699-NKNV,0
9313-4198-LKHC,1
5868-4005-QHTS,0
4381-9152-JKBW,0
7815-9314-HRMI,0
2344-9115-ITMB,0
0895-4890-UHAY,0
6770-8585-GMAQ,0
9331-4986-XBWV,0
4988-6600-PSPC,1
4586-5898-EEHT,1
0302-6886-TGQH,0
8648-2475-HHLB,0
0227-1108-LLTT,0
6340-3891-MLDZ,0
6190-6199-BZRH,1
3005-3989-EEZU,0
6492-0508-MGDJ,1
5641-5336-KJVR,1
3950-6565-FLLU,1
6650-3604-RTZM,0
6754-5794-EXAT,0
9213-6230-AJUV,0
6554-0482-XMRG,0
4313-4882-NCAA,0
6499-8153-HNWD,1
4673-5462-SAAB,0
3349-1815-YKWW,1
0078-7098-IWVP,1
3232-1748-WZXG,1
8935-3978-FGUF,0
2590-8949-DGRR,0
2662-5448-XAXT,0
9780-9873-HUQQ,0
0642-5791-AXDX,1
4605-3942-MHKJ,0
5617-1783-PZJP,0
8487-9850-ISQJ,1
9693-4569-DALX,1
2528-7396-DLVU,1
4941-0187-ADOP,0
2704-5705-ARGP,0
3185-1413-IEXU,1
8390-0548-BRGQ,1
2652-2323-DQJK,1
8110-5943-MYJJ,0
8783-4642-OQKH,1
4282-8986-QXHN,1
4017-8990-BKGQ,1
2535-5580-YKLG,1
4733-2527-QKON,1
1416-0216-JFBX,0
2683-8966-BYUA,1
9616-2991-JPUY,1
7390-0396-ZCNS,0
9027-2946-FFMN,1
2295-1090-QEGK,1
4317-2997-DTAK,0
7906-8602-WBUJ,1
6752-1748-HEBP,1
8746-5293-BZGD,1
9530-6499-HPML,1
6582-2204-ETXV,0
3775-9302-OKEB,1
2038-3438-JVSV,0
5622-7222-AOZY,1
9365-8485-EBLS,0
3669-0293-ZEFL,1
1578-1772-EITZ,1
8991-9576-BJUU,1
5108-6004-CZJB,1
0643-4705-PHPK,0
5790-8253-QELW,1
2085-7497-FIPA,1
1415-0577-GUMO,0
1027-0385-HLZX,1
3265-9311-JCFH,1
8633-4984-SLLA,1
0947-4823-QHUR,1
5565-2727-UIEE,1
5950-7427-TNCG,1
8356-1841-TEYB,1
5315-6855-AYWK,1
9494-6835-JVEU,1
9523-3997-FHER,1
6301-9307-YNCH,1
6180-0840-SKYE,0
5189-5487-UQWP,0
8726-5579-MWUO,0
7262-0947-OWDH,1
2063-8744-MYNQ,0
1838-7641-CRXP,0
5756-8762-UQDV,1
9277-3689-OBWB,1
2640-9827-GFXU,0
9176-3616-HFCC,1
8625-4161-HRJQ,0
8634-4960-HVRQ,1
0789-5638-BSFB,1
3620-1634-QHHH,1
5434-1898-YFGL,1
8315-7725-LVOX,0
1029-5461-SHIN,1
9213-4343-YERP,0
3605-1716-UBFM,1
3079-4491-CIUK,0
6299-6973-ETIE,0
7373-5874-DWXK,0
5075-9194-BAXM,0
8816-4657-PSEN,0
5820-1844-MAZS,0
3839-9343-FRDU,0
8535-7577-WWIN,1
3755-8637-FSSJ,1
3530-3880-IRMF,1
2803-9987-BFIR,1
6030-9931-CSCW,0
0326-2562-NVAF,0
2540-0552-UZKK,1
7165-9289-SDIK,1
9217-7521-GWNB,0
0668-9393-AWCQ,0
8101-1485-AYSA,0
6945-9705-LAOD,1
3933-3088-GPZO,1
1871-9611-IVKC,0
4744-5621-EMFD,0
5136-5217-UITQ,1
3834-5744-ESEO,1
3210-6034-ZOTR,1
8798-8733-VUEN,1
2054-2821-NSCD,1
0113-8548-XLJV,1
6223-8586-YSPO,1
0317-9879-ILSH,1
0936-7707-FFOL,1
6345-3907-UOWX,1
1286-9368-HIEF,1
1465-1474-XNOV,0
2762-8346-ECPP,0
6840-5705-BCAM,1
3362-8416-SPLC,0
0507-0875-MKLN,1
0430-8095-JVCZ,1
8731-7944-RJVN,1
9160-4648-CKZH,1
0244-0334-IJBV,0
7401-3288-EGIP,1
0425-9325-VSNY,1
0441-8884-JFTU,1
5730-7992-TCPQ,1
6036-0292-UNUQ,1
6171-7470-GAVP,1
1465-8940-NKJU,1
7538-7693-EOPQ,0
6270-4604-SDRW,1
4158-4125-ZBZP,1
7370-4412-UIGI,1
8667-2442-YMWU,1
4036-7037-XLDA,0
1191-6435-JLED,0
4401-5905-ZGZG,1
3560-8363-XRKD,1
7415-7036-RLRL,0
5710-0455-LOXM,0
8583-7538-OQKV,0
9428-9679-EQVE,1
5748-3563-KFOU,0
8409-4597-XXRD,1
3550-6751-GMQG,1
0132-2706-VFNR,0
4561-0516-RAHT,1
8375-3762-QMSX,1
9438-2175-NZAK,0
6124-8765-MRQE,0
6076-2677-TRGK,0
0769-0931-OIFL,0
8636-8081-JJGC,1
2006-6179-ELWG,0
7966-5518-IEYY,0
7480-6072-DXOJ,1
7068-2478-BFUP,0
7489-6213-VEOL,0
2272-6091-OSCR,0
5919-1672-STZC,1
1367-0731-JABY,0
5798-9782-HXVZ,0
5663-8438-QYQR,0
9901-2715-HJAZ,1
5488-2710-MVIV,1
7386-5379-FWNZ,1
9562-9921-IFEB,0
1856-8960-UHGU,0
9167-1691-UDMA,0
